ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Number
ledo1238,Ledo Kaili,,-1.03033,120.132,ledo1238,,248
unde1235,Unde Kaili,,-0.85876,119.673,unde1235,,249
moma1242,Moma,,-1.4313,120.009,moma1242,,250
lind1248,Tado-Lindu,,-1.35748,120.063,lind1248,,251
sedo1237,Sedoa,,-1.37295,120.378,sedo1237,,252
pamo1252,Pamona,,-1.62663,121.268,pamo1252,,253
tomb1245,Tombelala,,-2.50998,121.915,tomb1245,,254
saru1242,Sarudu,,-1.7094,119.349,saru1242,,255
umaa1242,Uma,,-1.70416,119.968,umaa1242,,256
topo1243,Topoiyo,,-2.06702,119.314,topo1243,,257
kama1364,Kamaru,,-5.15696,123.045,kama1364,,258
woli1241,Wolio,,-5.33,122.67,woli1241,,259
laiy1246,Laiyolo,,-6.45512,120.483,laiy1246,,260
kala1394,Kalao,,-7.31213,120.995,kala1394,,261
wotu1240,Wotu,,-2.59593,120.9,wotu1240,,262
bada1261,Bada (Indonesia),,-1.80249,120.319,bada1261,,263
beso1237,Besoa,,-1.60095,120.379,beso1237,,264
napu1241,Napu,,-1.43707,120.338,napu1241,,265
ramp1243,Rampi,,-2.1399,120.356,ramp1243,,266
budo1241,Budong-Budong,,-2.07756,119.327,budo1241,,267
pana1303,Panasuan,,-2.24049,119.65,pana1303,,268
seko1243,Seko Padang,,-2.14311,119.959,seko1243,,269
seko1242,Seko Tengah,,-2.22069,119.823,seko1242,,270
lemo1243,Lemolang,,-2.63313,120.27,lemo1243,,271
kalu1247,Kalumpang,,-2.33388,119.474,kalu1247,,272
mama1276,Mamasa,,-3.0811,119.484,mama1276,,273
taee1237,Tae',,-2.58205,120.139,taee1237,,274
talo1251,Talondo',,-2.4525,119.35,talo1251,,275
tora1261,Toraja-Sa'dan,,-2.97144,119.829,tora1261,,276
mamu1255,Mamuju,,-2.50762,119.082,mamu1255,,277
dakk1238,Dakka,,-3.33671,119.235,dakk1238,,278
aral1243,Aralle-Tabulahan,,-2.78397,119.319,aral1243,,279
bamb1270,Bambam,,-3.02759,119.201,bamb1270,,280
ulum1237,Ulumanda',,-3.00933,118.994,ulum1237,,281
pann1239,Pannei,,-3.21973,119.191,pann1239,,282
mand1442,Mandar,,-3.34717,119.068,mand1442,,283
duri1242,Duri,,-3.37081,119.871,duri1242,,284
enre1239,Enrekang,,-3.53848,119.66,enre1239,,285
